Category,Rating
Thai,4.484375
Korean,4.384615384615385
Cocktail Bars,4.35
French,4.314285714285714
Japanese,4.306818181818182
Mexican,4.25
Italian,4.24375
American (New),4.225609756097561
Chinese,4.224137931034483
Seafood,4.222222222222222
