Category,$,$$,$$$,$$$$
American (New),,4.0588235294117645,4.078947368421052,4.357142857142857
Chinese,4.375,4.227272727272728,4.0,4.0
Cocktail Bars,,4.342105263157895,4.166666666666667,
French,,4.2727272727272725,4.2,4.0
Italian,4.5,4.2,4.130434782608695,4.25
Japanese,4.5,4.166666666666667,4.2,4.833333333333333
Korean,4.0,4.3478260869565215,4.25,5.0
Mexican,,4.194444444444445,4.25,
Seafood,,4.083333333333333,4.25,
Thai,,4.342105263157895,4.5,
